periodo,Amazonas,Antioquia,Arauca,Atlántico,Bolívar,Boyacá,Caldas,Caquetá,Casanare,Cauca,Cesar,Chocó,Cundinamarca,Córdoba,Distrito Capital de Bogotá,Guainía,Guaviare,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Putumayo,Quindío,Risaralda,San Andrés Providencia y Santa Catalina,Santander,Sucre,Tolima,Valle del Cauca,Vaupés,Vichada
2016,0.0,108602.0,0.0,26299.0,181883.0,0.0,0.0,0.0,0.0,0.0,586311.0,0.0,10773.0,0.0,505341598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54057.0,0.0,37313488.0,15318.0,0.0,0.0
2017,29744543.0,98242725.0,10134353.0,16541269.0,108905384.0,21662068.0,100344193.0,35617328.0,194200012.0,6461289.0,58527560.0,40112323.0,40450526.0,23809630.0,2225345604.0,0.0,25737634.0,315227268.0,6302080.0,17097476.0,33474844.0,16664162.0,7075042.0,2776336.0,39209723.0,7301982.0,389871979.0,189176691.0,14294880.0,122695268.0,24371391.0,0.0,41876822.0
2018,511825581.0,1741562144.0,100138140.0,301951447.0,243997623.0,339580501.0,867634243.0,389102810.0,320367771.0,59887557.0,809378679.0,108982997.0,231512269.0,26920158.0,8308890227.0,194845510.0,1057392371.0,801038025.0,64721079.0,85637356.0,391419474.0,78193867.0,62121218.0,165821703.0,274617939.0,364573279.0,584911747.0,220083995.0,113678473.0,479642279.0,404377293.0,46109106.0,1115075277.0
2019,347878616.0,1421433608.0,152718366.0,188295470.0,1894634645.0,329968124.0,551100716.0,399649106.0,721599570.0,95217315.0,146560022.0,131316077.0,348753038.0,105757977.0,6922828225.0,505761583.0,362476722.0,706842088.0,21344369.0,476589197.0,329048457.0,89519786.0,104028412.0,770826204.0,295689376.0,195559311.0,1017470173.0,591935438.0,72328234.0,997478388.0,455946266.0,391514129.0,1635358608.0
2020,1426302639.0,2270003630.0,2164389245.0,3076427863.0,1538296232.0,3050870728.0,2740198906.0,2755310968.0,2076697821.0,1531086066.0,1786647177.0,4540458418.0,449534242.0,1470022778.0,11756717342.0,1182457546.0,1600069133.0,4487831996.0,885749413.0,1555371098.0,1904336534.0,1202741968.0,1420882670.0,1280436222.0,1040909977.0,2379837122.0,4397786814.0,2251390631.0,1186575491.0,1698108789.0,1729854046.0,1040540787.0,1053841247.0
2021,2339524849.0,3664185342.0,2064095385.0,2539483890.0,1891568342.0,1155719974.0,2947725924.0,2378372978.0,2568564450.0,1676191223.0,1885094805.0,4424496625.0,555104187.0,1514869540.0,15241708153.0,1830911979.0,2551647430.0,1577729141.0,3078195781.0,1161336714.0,2140273101.0,1455929775.0,1327984492.0,2535711621.0,1098225673.0,1897023304.0,7342054403.0,2273773885.0,1057090405.0,2473201281.0,1553322183.0,645340977.0,878587784.0
